Practice Id,MID,Date,Dba (Dim Mid),Fee Category,Rate Percent,Rate Amount,MOP___,Total Fees
1234,7205989,1/29/2016,Clinic 1,Interchange,0.0185,$0.00 ,AmEx,$1.28
1234,7205989,1/30/2016,Clinic 1,Interchange,0.026,$0.02 ,AmEx,$1.33
1234,7205989,1/31/2016,Clinic 1,Interchange,0.023,$0.02 ,AmEx,$0.82
1234,7205989,2/1/2016,Clinic 1,Interchange,0.021,$0.02 ,AmEx,$0.51
1234,7205989,2/2/2016,Clinic 1,Interchange,0.022,$0.02 ,AmEx,$0.43
1234,7205989,2/3/2016,Clinic 1,Interchange,0.018,$0.02 ,AmEx,$0.22
1234,7205989,2/4/2016,Clinic 1,Interchange,0.0165,$0.02 ,AmEx,$0.20
1234,7205989,2/5/2016,Clinic 1,Interchange,0.026,$0.02 ,AmEx,$0.15
1234,7205989,2/6/2016,Clinic 1,Interchange,0.0221,$0.00 ,AmEx,-$0.19
1234,7205989,2/7/2016,Clinic 1,Interchange,0.0221,$0.00 ,AmEx,-$1.78
1234,7205989,2/8/2016,Clinic 1,Interchange,0,$0.00 ,AmEx,$0.00
1234,7205989,2/9/2016,Clinic 1,Interchange,0,$0.00 ,AmEx,$0.00
1234,7205989,2/10/2016,Clinic 1,Interchange,0.0175,$0.00 ,AmEx,-$98.86
1234,7205989,2/11/2016,Clinic 1,Interchange,0.00656,$0.00 ,AmEx,$17.40
1234,7205989,2/12/2016,Clinic 1,Interchange,0.006565,$0.00 ,AmEx,$15.86
1234,7205989,2/13/2016,Clinic 1,Interchange,0.00664,$0.00 ,AmEx,$7.33
1234,7205989,2/14/2016,Clinic 1,Interchange,0.006652,$0.00 ,AmEx,$6.67
1234,7205989,2/15/2016,Clinic 1,Interchange,0.006653,$0.00 ,AmEx,$6.56
1234,7205989,2/16/2016,Clinic 1,Interchange,0.006675,$0.00 ,AmEx,$5.91
1234,7205989,2/17/2016,Clinic 1,Interchange,0.00668,$0.00 ,AmEx,$5.70
1234,7205989,2/18/2016,Clinic 1,Interchange,0.006681,$0.00 ,AmEx,$5.77
1234,7205989,2/19/2016,Clinic 1,Interchange,0.006715,$0.00 ,AmEx,$4.69
1234,7205989,2/20/2016,Clinic 1,Interchange,0.006716,$0.00 ,AmEx,$4.68
1234,7205989,2/21/2016,Clinic 1,Interchange,0.006717,$0.00 ,AmEx,$4.93
1234,7205989,2/22/2016,Clinic 1,Interchange,0.006726,$0.00 ,AmEx,$4.70
1234,7205989,2/23/2016,Clinic 1,Interchange,0.006741,$0.00 ,AmEx,$8.53
1234,7205989,2/24/2016,Clinic 1,Interchange,0.006742,$0.00 ,AmEx,$4.44
1234,7205989,2/25/2016,Clinic 1,Interchange,0.006756,$0.00 ,AmEx,$4.09
1234,7205989,2/26/2016,Clinic 1,Interchange,0.00678,$0.00 ,AmEx,$3.65
1234,7205989,2/27/2016,Clinic 1,Interchange,0.006783,$0.00 ,AmEx,$3.75
1234,7205989,2/28/2016,Clinic 1,Interchange,0.006789,$0.00 ,AmEx,$3.61
1234,7205989,2/29/2016,Clinic 1,Interchange,0.006797,$0.00 ,AmEx,$3.45
1234,7205989,3/1/2016,Clinic 1,Interchange,0.0068,$0.00 ,AmEx,$3.40
1234,7205989,3/2/2016,Clinic 1,Interchange,0.006818,$0.00 ,AmEx,$3.41
1234,7205989,3/3/2016,Clinic 1,Interchange,0.006821,$0.00 ,AmEx,$3.24
1234,7205989,3/4/2016,Clinic 1,Interchange,0.006822,$0.00 ,AmEx,$3.17
1234,7205989,3/5/2016,Clinic 1,Interchange,0.006823,$0.00 ,AmEx,$3.25
1234,7205989,3/6/2016,Clinic 1,Interchange,0.006841,$0.00 ,AmEx,$6.20
1234,7205989,3/7/2016,Clinic 1,Interchange,0.006849,$0.00 ,AmEx,$3.02
1234,7205989,3/8/2016,Clinic 1,Interchange,0.006852,$0.00 ,AmEx,$3.04
1234,7205989,3/9/2016,Clinic 1,Interchange,0.006856,$0.00 ,AmEx,$3.02
1234,7205989,3/10/2016,Clinic 1,Interchange,0.006857,$0.00 ,AmEx,$2.88
1234,7205989,3/11/2016,Clinic 1,Interchange,0.006859,$0.00 ,AmEx,$3.02
1234,7205989,3/12/2016,Clinic 1,Interchange,0.006861,$0.00 ,AmEx,$2.92
1234,7205989,3/13/2016,Clinic 1,Interchange,0.006875,$0.00 ,AmEx,$5.50
1234,7205989,3/14/2016,Clinic 1,Interchange,0.006884,$0.00 ,AmEx,$2.70
1234,7205989,3/15/2016,Clinic 1,Interchange,0.006888,$0.00 ,AmEx,$2.78
1234,7205989,3/16/2016,Clinic 1,Interchange,0.00689,$0.00 ,AmEx,$2.65
1234,7205989,3/17/2016,Clinic 1,Interchange,0.006893,$0.00 ,AmEx,$2.72
1234,7205989,3/18/2016,Clinic 1,Interchange,0.006894,$0.00 ,AmEx,$5.48
1234,7205989,3/19/2016,Clinic 1,Interchange,0.006913,$0.00 ,AmEx,$2.64
1234,7205989,3/20/2016,Clinic 1,Interchange,0.006927,$0.00 ,AmEx,$2.50
1234,7205989,3/21/2016,Clinic 1,Interchange,0.006932,$0.00 ,AmEx,$2.44
1234,7205989,3/22/2016,Clinic 1,Interchange,0.006933,$0.00 ,AmEx,$2.47
1234,7205989,3/23/2016,Clinic 1,Interchange,0.00694,$0.00 ,AmEx,$2.39
1234,7205989,3/24/2016,Clinic 1,Interchange,0.006942,$0.00 ,AmEx,$2.41
1234,7205989,3/25/2016,Clinic 1,Interchange,0.006948,$0.00 ,AmEx,$2.43
1234,7205989,3/26/2016,Clinic 1,Interchange,0.006949,$0.00 ,AmEx,$2.40
1234,7205989,3/27/2016,Clinic 1,Interchange,0.006956,$0.00 ,AmEx,$4.74
1234,7205989,3/28/2016,Clinic 1,Interchange,0.006961,$0.00 ,AmEx,$2.26
1234,7205989,3/29/2016,Clinic 1,Interchange,0.006965,$0.00 ,AmEx,$2.33
1234,7205989,3/30/2016,Clinic 1,Interchange,0.00697,$0.00 ,AmEx,$2.31
1234,7205989,3/31/2016,Clinic 1,Interchange,0.006977,$0.00 ,AmEx,$2.26
1234,7205989,4/1/2016,Clinic 1,Interchange,0.006982,$0.00 ,AmEx,$2.17
1234,7205989,4/2/2016,Clinic 1,Interchange,0.006984,$0.00 ,AmEx,$2.21
1234,7205989,4/3/2016,Clinic 1,Interchange,0.007003,$0.00 ,AmEx,$2.10
1234,7205989,4/4/2016,Clinic 1,Interchange,0.007006,$0.00 ,AmEx,$4.31
1234,7205989,4/5/2016,Clinic 1,Interchange,0.007021,$0.00 ,AmEx,$4.17
1234,7205989,4/6/2016,Clinic 1,Interchange,0.007027,$0.00 ,AmEx,$2.03
1234,7205989,4/7/2016,Clinic 1,Interchange,0.007028,$0.00 ,AmEx,$2.10
1234,7205989,4/8/2016,Clinic 1,Interchange,0.007045,$0.00 ,AmEx,$2.02
1234,7205989,4/9/2016,Clinic 1,Interchange,0.007057,$0.00 ,AmEx,$2.00
1234,7205989,4/10/2016,Clinic 1,Interchange,0.00706,$0.00 ,AmEx,$2.00
1234,7205989,4/11/2016,Clinic 1,Interchange,0.007065,$0.00 ,AmEx,$1.89
1234,7205989,4/12/2016,Clinic 1,Interchange,0.007066,$0.00 ,AmEx,$1.97
1234,7205989,4/13/2016,Clinic 1,Interchange,0.007074,$0.00 ,AmEx,$1.95
1234,7205989,4/14/2016,Clinic 1,Interchange,0.007076,$0.00 ,AmEx,$1.94
1234,7205989,4/15/2016,Clinic 1,Interchange,0.007081,$0.00 ,AmEx,$1.87
1234,7205989,4/16/2016,Clinic 1,Interchange,0.007085,$0.00 ,AmEx,$1.92
1234,7205989,4/17/2016,Clinic 1,Interchange,0.007089,$0.00 ,AmEx,$3.74
1234,7205989,4/18/2016,Clinic 1,Interchange,0.00709,$0.00 ,AmEx,$1.81
1234,7205989,4/19/2016,Clinic 1,Interchange,0.007091,$0.00 ,AmEx,$1.86
1234,7205989,4/20/2016,Clinic 1,Interchange,0.007094,$0.00 ,AmEx,$3.68
1234,7205989,4/21/2016,Clinic 1,Interchange,0.007096,$0.00 ,AmEx,$1.79
1234,7205989,4/22/2016,Clinic 1,Interchange,0.007099,$0.00 ,AmEx,$1.88
1234,7205989,4/23/2016,Clinic 1,Interchange,0.007101,$0.00 ,AmEx,$5.50
1234,7205989,4/24/2016,Clinic 1,Interchange,0.007116,$0.00 ,AmEx,$1.79
1234,7205989,4/25/2016,Clinic 1,Interchange,0.007124,$0.00 ,AmEx,$3.52
1234,7205989,4/26/2016,Clinic 1,Interchange,0.007151,$0.00 ,AmEx,$3.44
1234,7205989,4/27/2016,Clinic 1,Interchange,0.007154,$0.00 ,AmEx,$3.34
1234,7205989,4/28/2016,Clinic 1,Interchange,0.007173,$0.00 ,AmEx,$1.70
1234,7205989,4/29/2016,Clinic 1,Interchange,0.007174,$0.00 ,AmEx,$1.63
1234,7205989,4/30/2016,Clinic 1,Interchange,0.007178,$0.00 ,AmEx,$1.61
1234,7205989,5/1/2016,Clinic 1,Interchange,0.00718,$0.00 ,AmEx,$1.60
1234,7205989,5/2/2016,Clinic 1,Interchange,0.007188,$0.00 ,AmEx,$1.63
1234,7205989,5/3/2016,Clinic 1,Interchange,0.007189,$0.00 ,AmEx,$1.66
1234,7205989,5/4/2016,Clinic 1,Interchange,0.007202,$0.00 ,AmEx,$1.61
1234,7205989,5/5/2016,Clinic 1,Interchange,0.007203,$0.00 ,AmEx,$1.54
1234,7205989,5/6/2016,Clinic 1,Interchange,0.007212,$0.00 ,AmEx,$1.53
1234,7205989,5/7/2016,Clinic 1,Interchange,0.007216,$0.00 ,AmEx,$1.59
1234,7205989,5/8/2016,Clinic 1,Interchange,0.007217,$0.00 ,AmEx,$1.53
1234,7205989,5/9/2016,Clinic 1,Interchange,0.007218,$0.00 ,AmEx,$1.53
1234,7205989,5/10/2016,Clinic 1,Interchange,0.007225,$0.00 ,AmEx,$1.54
1234,7205989,5/11/2016,Clinic 1,Interchange,0.007226,$0.00 ,AmEx,$1.50
1234,7205989,5/12/2016,Clinic 1,Interchange,0.00723,$0.00 ,AmEx,$1.54
1234,7205989,5/13/2016,Clinic 1,Interchange,0.007231,$0.00 ,AmEx,$3.09
1234,7205989,5/14/2016,Clinic 1,Interchange,0.007235,$0.00 ,AmEx,$1.53
1234,7205989,5/15/2016,Clinic 1,Interchange,0.007245,$0.00 ,AmEx,$1.47
1234,7205989,5/16/2016,Clinic 1,Interchange,0.007247,$0.00 ,AmEx,$1.54
1234,7205989,5/17/2016,Clinic 1,Interchange,0.007249,$0.00 ,AmEx,$4.48
1234,7205989,5/18/2016,Clinic 1,Interchange,0.00725,$0.00 ,AmEx,$5.82
1234,7205989,5/19/2016,Clinic 1,Interchange,0.007255,$0.00 ,AmEx,$1.52
1234,7205989,5/20/2016,Clinic 1,Interchange,0.00726,$0.00 ,AmEx,$1.51
1234,7205989,5/21/2016,Clinic 1,Interchange,0.007263,$0.00 ,AmEx,$1.45
1234,7205989,5/22/2016,Clinic 1,Interchange,0.007268,$0.00 ,AmEx,$1.45
1234,7205989,5/23/2016,Clinic 1,Interchange,0.007287,$0.00 ,AmEx,$1.42
1234,7205989,5/24/2016,Clinic 1,Interchange,0.007301,$0.00 ,AmEx,$1.37
1234,7205989,5/25/2016,Clinic 1,Interchange,0.007305,$0.00 ,AmEx,$1.38
1234,7205989,5/26/2016,Clinic 1,Interchange,0.007307,$0.00 ,AmEx,$1.36
1234,7205989,5/27/2016,Clinic 1,Interchange,0.00731,$0.00 ,AmEx,$1.44
1234,7205989,5/28/2016,Clinic 1,Interchange,0.007317,$0.00 ,AmEx,$2.75
1234,7205989,5/29/2016,Clinic 1,Interchange,0.007321,$0.00 ,AmEx,$1.34
1234,7205989,5/30/2016,Clinic 1,Interchange,0.007322,$0.00 ,AmEx,$1.34
1234,7205989,5/31/2016,Clinic 1,Interchange,0.007334,$0.00 ,AmEx,$1.40
1234,7205989,6/1/2016,Clinic 1,Interchange,0.007342,$0.00 ,AmEx,$2.73
1234,7205989,6/2/2016,Clinic 1,Interchange,0.007343,$0.00 ,AmEx,$1.32
1234,7205989,6/3/2016,Clinic 1,Interchange,0.007346,$0.00 ,AmEx,$2.74
1234,7205989,6/4/2016,Clinic 1,Interchange,0.007355,$0.00 ,AmEx,$1.34
1234,7205989,6/5/2016,Clinic 1,Interchange,0.007357,$0.00 ,AmEx,$1.33
1234,7205989,6/6/2016,Clinic 1,Interchange,0.007362,$0.00 ,AmEx,$1.33
1234,7205989,6/7/2016,Clinic 1,Interchange,0.007366,$0.00 ,AmEx,$1.34
1234,7205989,6/8/2016,Clinic 1,Interchange,0.007377,$0.00 ,AmEx,$1.31
1234,7205989,6/9/2016,Clinic 1,Interchange,0.007389,$0.00 ,AmEx,$1.31
1234,7205989,6/10/2016,Clinic 1,Interchange,0.007391,$0.00 ,AmEx,$1.32
1234,7205989,6/11/2016,Clinic 1,Interchange,0.007393,$0.00 ,AmEx,$1.30
1234,7205989,6/12/2016,Clinic 1,Interchange,0.007394,$0.00 ,AmEx,$17.78
1234,7205989,6/13/2016,Clinic 1,Interchange,0.007399,$0.00 ,AmEx,$2.52
1234,7205989,6/14/2016,Clinic 1,Interchange,0.007417,$0.00 ,AmEx,$2.44
1234,7205989,6/15/2016,Clinic 1,Interchange,0.007419,$0.00 ,AmEx,$1.28
1234,7205989,6/16/2016,Clinic 1,Interchange,0.007425,$0.00 ,AmEx,$1.24
1234,7205989,6/17/2016,Clinic 1,Interchange,0.007435,$0.00 ,AmEx,$1.25
1234,7205989,6/18/2016,Clinic 1,Interchange,0.007438,$0.00 ,AmEx,$1.22
1234,7205989,6/19/2016,Clinic 1,Interchange,0.00744,$0.00 ,AmEx,$1.20
1234,7205989,6/20/2016,Clinic 1,Interchange,0.007449,$0.00 ,AmEx,$1.22
1234,7205989,6/21/2016,Clinic 1,Interchange,0.007451,$0.00 ,AmEx,$1.21
1234,7205989,6/22/2016,Clinic 1,Interchange,0.007457,$0.00 ,AmEx,$1.19
1234,7205989,6/23/2016,Clinic 1,Interchange,0.007469,$0.00 ,AmEx,$1.19
1234,7205989,6/24/2016,Clinic 1,Interchange,0.007486,$0.00 ,AmEx,$1.15
1234,7205989,6/25/2016,Clinic 1,Interchange,0.007487,$0.00 ,AmEx,$1.17
1234,7205989,6/26/2016,Clinic 1,Interchange,0.007497,$0.00 ,AmEx,$1.15
1234,7205989,6/27/2016,Clinic 1,Interchange,0.007511,$0.00 ,AmEx,$1.17
1234,7205989,6/28/2016,Clinic 1,Interchange,0.007516,$0.00 ,AmEx,$1.15
1234,7205989,6/29/2016,Clinic 1,Interchange,0.007522,$0.00 ,AmEx,$1.14
1234,7205989,6/30/2016,Clinic 1,Interchange,0.007526,$0.00 ,AmEx,$1.12
1234,7205989,7/1/2016,Clinic 1,Interchange,0.007534,$0.00 ,AmEx,$1.12
1234,7205989,7/2/2016,Clinic 1,Interchange,0.00755,$0.00 ,AmEx,$1.14
1234,7205989,7/3/2016,Clinic 1,Interchange,0.007551,$0.00 ,AmEx,$1.14
1234,7205989,7/4/2016,Clinic 1,Interchange,0.007571,$0.00 ,AmEx,$2.17
1234,7205989,7/5/2016,Clinic 1,Interchange,0.007577,$0.00 ,AmEx,$1.11
1234,7205989,7/6/2016,Clinic 1,Interchange,0.007578,$0.00 ,AmEx,$1.11
1234,7205989,7/7/2016,Clinic 1,Interchange,0.007589,$0.00 ,AmEx,$1.10
1234,7205989,7/8/2016,Clinic 1,Interchange,0.007597,$0.00 ,AmEx,$2.12
1234,7205989,7/9/2016,Clinic 1,Interchange,0.007599,$0.00 ,AmEx,$2.10
1234,7205989,7/10/2016,Clinic 1,Interchange,0.007615,$0.00 ,AmEx,$1.05
1234,7205989,7/11/2016,Clinic 1,Interchange,0.007619,$0.00 ,AmEx,$1.06
1234,7205989,7/12/2016,Clinic 1,Interchange,0.007629,$0.00 ,AmEx,$1.07
1234,7205989,7/13/2016,Clinic 1,Interchange,0.00763,$0.00 ,AmEx,$1.07
1234,7205989,7/14/2016,Clinic 1,Interchange,0.007647,$0.00 ,AmEx,$1.03
1234,7205989,7/15/2016,Clinic 1,Interchange,0.007652,$0.00 ,AmEx,$1.02
1234,7205989,7/16/2016,Clinic 1,Interchange,0.00767,$0.00 ,AmEx,$1.02
1234,7205989,7/17/2016,Clinic 1,Interchange,0.007686,$0.00 ,AmEx,$0.97
1234,7205989,7/18/2016,Clinic 1,Interchange,0.007691,$0.00 ,AmEx,$0.97
1234,7205989,7/19/2016,Clinic 1,Interchange,0.007703,$0.00 ,AmEx,$1.01
1234,7205989,7/20/2016,Clinic 1,Interchange,0.007714,$0.00 ,AmEx,$1.98
1234,7205989,7/21/2016,Clinic 1,Interchange,0.007718,$0.00 ,AmEx,$0.98
1234,7205989,7/22/2016,Clinic 1,Interchange,0.007732,$0.00 ,AmEx,$5.00
1234,7205989,7/23/2016,Clinic 1,Interchange,0.007738,$0.00 ,AmEx,$0.98
1234,7205989,7/24/2016,Clinic 1,Interchange,0.00775,$0.00 ,AmEx,$2.79
1234,7205989,7/25/2016,Clinic 1,Interchange,0.007766,$0.00 ,AmEx,$3.68
1234,7205989,7/26/2016,Clinic 1,Interchange,0.007778,$0.00 ,AmEx,$0.92
1234,7205989,7/27/2016,Clinic 1,Interchange,0.007796,$0.00 ,AmEx,$18.20
1234,7205989,7/28/2016,Clinic 1,Interchange,0.007798,$0.00 ,AmEx,$0.95
1234,7205989,7/29/2016,Clinic 1,Interchange,0.007812,$0.00 ,AmEx,$0.91
1234,7205989,7/30/2016,Clinic 1,Interchange,0.007815,$0.00 ,AmEx,$0.89
1234,7205989,7/31/2016,Clinic 1,Interchange,0.007824,$0.00 ,AmEx,$0.89
1234,7205989,8/1/2016,Clinic 1,Interchange,0.007838,$0.00 ,AmEx,$0.89
1234,7205989,8/2/2016,Clinic 1,Interchange,0.007851,$0.00 ,AmEx,$0.89
1234,7205989,8/3/2016,Clinic 1,Interchange,0.00786,$0.00 ,AmEx,$0.90
1234,7205989,8/4/2016,Clinic 1,Interchange,0.007907,$0.00 ,AmEx,$4.40
1234,7205989,8/5/2016,Clinic 1,Interchange,0.00793,$0.00 ,AmEx,$0.83
1234,7205989,8/6/2016,Clinic 1,Interchange,0.007935,$0.00 ,AmEx,$5.10
1234,7205989,8/7/2016,Clinic 1,Interchange,0.00795,$0.00 ,AmEx,$0.82
1234,7205989,8/8/2016,Clinic 1,Interchange,0.007986,$0.00 ,AmEx,$0.84
1234,7205989,8/9/2016,Clinic 1,Interchange,0.007998,$0.00 ,AmEx,$1.70
1234,7205989,8/10/2016,Clinic 1,Interchange,0.008,$0.00 ,AmEx,$1.60
1234,7205989,8/11/2016,Clinic 1,Interchange,0.008009,$0.00 ,AmEx,$0.82
1234,7205989,8/12/2016,Clinic 1,Interchange,0.008011,$0.00 ,AmEx,$0.84
1234,7205989,8/13/2016,Clinic 1,Interchange,0.008028,$0.00 ,AmEx,$0.81
1234,7205989,8/14/2016,Clinic 1,Interchange,0.008049,$0.00 ,AmEx,$0.82
1234,7205989,8/15/2016,Clinic 1,Interchange,0.008075,$0.00 ,AmEx,$0.80
1234,7205989,8/16/2016,Clinic 1,Interchange,0.008082,$0.00 ,AmEx,$0.81
1234,7205989,8/17/2016,Clinic 1,Interchange,0.008087,$0.00 ,AmEx,$0.78
1234,7205989,8/18/2016,Clinic 1,Interchange,0.008125,$0.00 ,AmEx,$0.78
1234,7205989,8/19/2016,Clinic 1,Interchange,0.008135,$0.00 ,AmEx,$0.78
1234,7205989,8/20/2016,Clinic 1,Interchange,0.008137,$0.00 ,AmEx,$0.78
1234,7205989,8/21/2016,Clinic 1,Interchange,0.008175,$0.00 ,AmEx,$0.74
1234,7205989,8/22/2016,Clinic 1,Interchange,0.00818,$0.00 ,AmEx,$0.74
1234,7205989,8/23/2016,Clinic 1,Interchange,0.008181,$0.00 ,AmEx,$0.74
1234,7205989,8/24/2016,Clinic 1,Interchange,0.008224,$0.00 ,AmEx,$0.74
1234,7205989,8/25/2016,Clinic 1,Interchange,0.008281,$0.00 ,AmEx,$0.73
1234,7205989,8/26/2016,Clinic 1,Interchange,0.008333,$0.00 ,AmEx,$0.70
1234,7205989,8/27/2016,Clinic 1,Interchange,0.008378,$0.00 ,AmEx,$0.67
1234,7205989,8/28/2016,Clinic 1,Interchange,0.008395,$0.00 ,AmEx,$0.68
1234,7205989,8/29/2016,Clinic 1,Interchange,0.008412,$0.00 ,AmEx,$0.67
1234,7205989,8/30/2016,Clinic 1,Interchange,0.008437,$0.00 ,AmEx,$0.68
1234,7205989,8/31/2016,Clinic 1,Interchange,0.00845,$0.00 ,AmEx,$0.66
1234,7205989,9/1/2016,Clinic 1,Interchange,0.008462,$0.00 ,AmEx,$0.65
1234,7205989,9/2/2016,Clinic 1,Interchange,0.008465,$0.00 ,AmEx,$0.67
1234,7205989,9/3/2016,Clinic 1,Interchange,0.008502,$0.00 ,AmEx,$0.65
1234,7205989,9/4/2016,Clinic 1,Interchange,0.008516,$0.00 ,AmEx,$0.66
1234,7205989,9/5/2016,Clinic 1,Interchange,0.008522,$0.00 ,AmEx,$0.64
1234,7205989,9/6/2016,Clinic 1,Interchange,0.008523,$0.00 ,AmEx,$0.65
1234,7205989,9/7/2016,Clinic 1,Interchange,0.008533,$0.00 ,AmEx,$1.92
1234,7205989,9/8/2016,Clinic 1,Interchange,0.008538,$0.00 ,AmEx,$0.65
1234,7205989,9/9/2016,Clinic 1,Interchange,0.008607,$0.00 ,AmEx,$0.65
1234,7205989,9/10/2016,Clinic 1,Interchange,0.008631,$0.00 ,AmEx,$0.64
1234,7205989,9/11/2016,Clinic 1,Interchange,0.008646,$0.00 ,AmEx,$0.62
1234,7205989,9/12/2016,Clinic 1,Interchange,0.008657,$0.00 ,AmEx,$0.62
1234,7205989,9/13/2016,Clinic 1,Interchange,0.00867,$0.00 ,AmEx,$0.62
1234,7205989,9/14/2016,Clinic 1,Interchange,0.008676,$0.00 ,AmEx,$0.62
1234,7205989,9/15/2016,Clinic 1,Interchange,0.008682,$0.00 ,AmEx,$0.61
1234,7205989,9/16/2016,Clinic 1,Interchange,0.008714,$0.00 ,AmEx,$1.22
1234,7205989,9/17/2016,Clinic 1,Interchange,0.008732,$0.00 ,AmEx,$0.60
1234,7205989,9/18/2016,Clinic 1,Interchange,0.008785,$0.00 ,AmEx,$0.58
1234,7205989,9/19/2016,Clinic 1,Interchange,0.008816,$0.00 ,AmEx,$0.59
1234,7205989,9/20/2016,Clinic 1,Interchange,0.008825,$0.00 ,AmEx,$0.60
1234,7205989,9/21/2016,Clinic 1,Interchange,0.008845,$0.00 ,AmEx,$0.57
1234,7205989,9/22/2016,Clinic 1,Interchange,0.008858,$0.00 ,AmEx,$0.57
1234,7205989,9/23/2016,Clinic 1,Interchange,0.008868,$0.00 ,AmEx,$0.59
1234,7205989,9/24/2016,Clinic 1,Interchange,0.008874,$0.00 ,AmEx,$0.59
1234,7205989,9/25/2016,Clinic 1,Interchange,0.00889,$0.00 ,AmEx,$0.59
1234,7205989,9/26/2016,Clinic 1,Interchange,0.008896,$0.00 ,AmEx,$0.59
1234,7205989,9/27/2016,Clinic 1,Interchange,0.008903,$0.00 ,AmEx,$0.59
